u_1	u_2	z_1	z_2	Obj	ϕ_1	ϕ_2
0.000000	1.000000	3.000000	1.255914	-0.194216	1.000000	-0.728958	1.728958
0.001000	0.999000	3.000000	1.256498	-0.194252	0.999372	-0.728536	1.727908
0.002000	0.998000	3.000000	1.257083	-0.194288	0.998745	-0.728113	1.726858
0.003000	0.997000	3.000000	1.257670	-0.194323	0.998117	-0.727691	1.725808
0.004000	0.996000	3.000000	1.258258	-0.194359	0.997490	-0.727269	1.724758
0.005000	0.995000	3.000000	1.258847	-0.194395	0.996863	-0.726846	1.723709
0.006000	0.994000	3.000000	1.259437	-0.194431	0.996235	-0.726424	1.722659
0.007000	0.993000	3.000000	1.260028	-0.194467	0.995608	-0.726002	1.721610
0.008000	0.992000	3.000000	1.260620	-0.194504	0.994981	-0.725580	1.720561
0.009000	0.99ss1000	3.000000	1.261214	-0.194540	0.994354	-0.725158	1.719512
0.010000	0.990000	3.000000	1.261809	-0.194576	0.993727	-0.724736	1.718463
0.011000	0.989000	3.000000	1.262405	-0.194613	0.993100	-0.724314	1.717414
0.012000	0.988000	3.000000	1.263002	-0.194649	0.992473	-0.723893	1.716366
0.013000	0.987000	3.000000	1.263601	-0.194686	0.991846	-0.723471	1.715317
0.014000	0.986000	3.000000	1.264201	-0.194722	0.991219	-0.723049	1.714269
0.015000	0.985000	3.000000	1.264802	-0.194759	0.990593	-0.722628	1.713221
0.016000	0.984000	3.000000	1.265404	-0.194796	0.989966	-0.722206	1.712173
0.017000	0.983000	3.000000	1.266007	-0.194833	0.989340	-0.721785	1.711125
0.018000	0.982000	3.000000	1.266612	-0.194870	0.988713	-0.721364	1.710077
0.019000	0.981000	3.000000	1.267218	-0.194907	0.988087	-0.720943	1.709029
0.020000	0.980000	3.000000	1.267825	-0.194944	0.987460	-0.720521	1.707982
0.021000	0.979000	3.000000	1.268433	-0.194981	0.986834	-0.720100	1.706934
0.022000	0.978000	3.000000	1.269043	-0.195018	0.986208	-0.719679	1.705887
0.023000	0.977000	3.000000	1.269654	-0.195055	0.985582	-0.719258	1.704840
0.024000	0.976000	3.000000	1.270266	-0.195093	0.984956	-0.718837	1.703793
0.025000	0.975000	3.000000	1.270879	-0.195130	0.984330	-0.718417	1.702747
0.026000	0.974000	3.000000	1.271494	-0.195168	0.983704	-0.717996	1.701700
0.027000	0.973000	3.000000	1.272109	-0.195205	0.983078	-0.717575	1.700653
0.028000	0.972000	3.000000	1.272727	-0.195243	0.982453	-0.717154	1.699607
0.029000	0.971000	3.000000	1.273345	-0.195281	0.981827	-0.716734	1.698561
0.030000	0.970000	3.000000	1.273965	-0.195319	0.981201	-0.716314	1.697515
0.031000	0.969000	3.000000	1.274586	-0.195357	0.980576	-0.715893	1.696469
0.032000	0.968000	3.000000	1.275208	-0.195395	0.979950	-0.715473	1.695423
0.033000	0.967000	3.000000	1.275832	-0.195433	0.979325	-0.715053	1.694378
0.034000	0.966000	3.000000	1.276456	-0.195471	0.978700	-0.714632	1.693332
0.035000	0.965000	3.000000	1.277083	-0.195509	0.978074	-0.714212	1.692287
0.036000	0.964000	3.000000	1.277710	-0.195547	0.977449	-0.713792	1.691242
0.037000	0.963000	3.000000	1.278339	-0.195586	0.976824	-0.713372	1.690197
0.038000	0.962000	3.000000	1.278969	-0.195624	0.976199	-0.712953	1.689152
0.039000	0.961000	3.000000	1.279600	-0.195663	0.975574	-0.712533	1.688107
0.040000	0.960000	3.000000	1.280233	-0.195702	0.974949	-0.712113	1.687063
0.041000	0.959000	3.000000	1.280867	-0.195740	0.974325	-0.711693	1.686018
0.042000	0.958000	3.000000	1.281502	-0.195779	0.973700	-0.711274	1.684974
0.043000	0.957000	3.000000	1.282139	-0.195818	0.973075	-0.710854	1.683930
0.044000	0.956000	3.000000	1.282777	-0.195857	0.972451	-0.710435	1.682886
0.045000	0.955000	3.000000	1.283416	-0.195896	0.971826	-0.710016	1.681842
0.046000	0.954000	3.000000	1.284057	-0.195935	0.971202	-0.709596	1.680798
0.047000	0.953000	3.000000	1.284699	-0.195974	0.970578	-0.709177	1.679755
0.048000	0.952000	3.000000	1.285342	-0.196014	0.969953	-0.708758	1.678712
0.049000	0.951000	3.000000	1.285987	-0.196053	0.969329	-0.708339	1.677668
0.050000	0.950000	3.000000	1.286633	-0.196093	0.968705	-0.707920	1.676625
0.051000	0.949000	3.000000	1.287281	-0.196132	0.968081	-0.707501	1.675582
0.052000	0.948000	3.000000	1.287930	-0.196172	0.967457	-0.707082	1.674540
0.053000	0.947000	3.000000	1.288580	-0.196211	0.966834	-0.706664	1.673497
0.054000	0.946000	3.000000	1.289231	-0.196251	0.966210	-0.706245	1.672455
0.055000	0.945000	3.000000	1.289884	-0.196291	0.965586	-0.705827	1.671413
0.056000	0.944000	3.000000	1.290539	-0.196331	0.964962	-0.705408	1.670371
0.057000	0.943000	3.000000	1.291195	-0.196371	0.964339	-0.704990	1.669329
0.058000	0.942000	3.000000	1.291852	-0.196411	0.963716	-0.704571	1.668287
0.059000	0.941000	3.000000	1.292510	-0.196452	0.963092	-0.704153	1.667245
0.060000	0.940000	3.000000	1.293170	-0.196492	0.962469	-0.703735	1.666204
0.061000	0.939000	3.000000	1.293832	-0.196532	0.961846	-0.703317	1.665163
0.062000	0.938000	3.000000	1.294494	-0.196573	0.961223	-0.702899	1.664121
0.063000	0.937000	3.000000	1.295159	-0.196613	0.960600	-0.702481	1.663080
0.064000	0.936000	3.000000	1.295824	-0.196654	0.959977	-0.702063	1.662040
0.065000	0.935000	3.000000	1.296491	-0.196695	0.959354	-0.701645	1.660999
0.066000	0.934000	3.000000	1.297160	-0.196736	0.958731	-0.701228	1.659959
0.067000	0.933000	3.000000	1.297830	-0.196776	0.958108	-0.700810	1.658918
0.068000	0.932000	3.000000	1.298501	-0.196817	0.957486	-0.700393	1.657878
0.069000	0.931000	3.000000	1.299174	-0.196859	0.956863	-0.699975	1.656838
0.070000	0.930000	3.000000	1.299848	-0.196900	0.956241	-0.699558	1.655798
0.071000	0.929000	3.000000	1.300524	-0.196941	0.955618	-0.699141	1.654759
0.072000	0.928000	3.000000	1.301201	-0.196982	0.954996	-0.698723	1.653719
0.073000	0.927000	3.000000	1.301880	-0.197024	0.954374	-0.698306	1.652680
0.074000	0.926000	3.000000	1.302560	-0.197065	0.953752	-0.697889	1.651641
0.075000	0.925000	3.000000	1.303241	-0.197107	0.953130	-0.697472	1.650602
0.076000	0.924000	3.000000	1.303924	-0.197149	0.952508	-0.697056	1.649563
0.077000	0.923000	3.000000	1.304609	-0.197191	0.951886	-0.696639	1.648525
0.078000	0.922000	3.000000	1.305295	-0.197232	0.951264	-0.696222	1.647486
0.079000	0.921000	3.000000	1.305982	-0.197274	0.950642	-0.695806	1.646448
0.080000	0.920000	3.000000	1.306671	-0.197317	0.950021	-0.695389	1.645410
0.081000	0.919000	3.000000	1.307362	-0.197359	0.949399	-0.694973	1.644372
0.082000	0.918000	3.000000	1.308054	-0.197401	0.948778	-0.694556	1.643334
0.083000	0.917000	3.000000	1.308747	-0.197443	0.948156	-0.694140	1.642296
0.084000	0.916000	3.000000	1.309442	-0.197486	0.947535	-0.693724	1.641259
0.085000	0.915000	3.000000	1.310139	-0.197528	0.946914	-0.693308	1.640222
0.086000	0.914000	3.000000	1.310837	-0.197571	0.946293	-0.692892	1.639185
0.087000	0.913000	3.000000	1.311537	-0.197614	0.945672	-0.692476	1.638148
0.088000	0.912000	3.000000	1.312238	-0.197657	0.945051	-0.692060	1.637111
0.089000	0.911000	3.000000	1.312941	-0.197699	0.944430	-0.691645	1.636075
0.090000	0.910000	3.000000	1.313645	-0.197742	0.943809	-0.691229	1.635038
0.091000	0.909000	3.000000	1.314351	-0.197786	0.943189	-0.690813	1.634002
0.092000	0.908000	3.000000	1.315058	-0.197829	0.942568	-0.690398	1.632966
0.093000	0.907000	3.000000	1.315767	-0.197872	0.941948	-0.689983	1.631930
0.094000	0.906000	3.000000	1.316477	-0.197916	0.941327	-0.689567	1.630895
0.095000	0.905000	3.000000	1.317190	-0.197959	0.940707	-0.689152	1.629859
0.096000	0.904000	3.000000	1.317903	-0.198003	0.940087	-0.688737	1.628824
0.097000	0.903000	3.000000	1.318618	-0.198046	0.939467	-0.688322	1.627789
0.098000	0.902000	3.000000	1.319335	-0.198090	0.938847	-0.687907	1.626754
0.099000	0.901000	3.000000	1.320054	-0.198134	0.938227	-0.687492	1.625719
0.100000	0.900000	3.000000	1.320774	-0.198178	0.937607	-0.687078	1.624685
0.101000	0.899000	3.000000	1.321495	-0.198222	0.936987	-0.686663	1.623650
0.102000	0.898000	3.000000	1.322219	-0.198266	0.936368	-0.686248	1.622616
0.103000	0.897000	3.000000	1.322943	-0.198310	0.935748	-0.685834	1.621582
0.104000	0.896000	3.000000	1.323670	-0.198355	0.935129	-0.685420	1.620548
0.105000	0.895000	3.000000	1.324398	-0.198399	0.934509	-0.685005	1.619515
0.106000	0.894000	3.000000	1.325128	-0.198444	0.933890	-0.684591	1.618481
0.107000	0.893000	3.000000	1.325859	-0.198489	0.933271	-0.684177	1.617448
0.108000	0.892000	3.000000	1.326592	-0.198533	0.932652	-0.683763	1.616415
0.109000	0.891000	3.000000	1.327327	-0.198578	0.932033	-0.683349	1.615382
0.110000	0.890000	3.000000	1.328063	-0.198623	0.931414	-0.682936	1.614349
0.111000	0.889000	3.000000	1.328801	-0.198668	0.930795	-0.682522	1.613317
0.112000	0.888000	3.000000	1.329541	-0.198713	0.930176	-0.682108	1.612284
0.113000	0.887000	3.000000	1.330282	-0.198759	0.929558	-0.681695	1.611252
0.114000	0.886000	3.000000	1.331025	-0.198804	0.928939	-0.681281	1.610220
0.115000	0.885000	3.000000	1.331770	-0.198850	0.928321	-0.680868	1.609189
0.116000	0.884000	3.000000	1.332516	-0.198895	0.927702	-0.680455	1.608157
0.117000	0.883000	3.000000	1.333264	-0.198941	0.927084	-0.680042	1.607126
0.118000	0.882000	3.000000	1.334014	-0.198987	0.926466	-0.679629	1.606095
0.119000	0.881000	3.000000	1.334765	-0.199033	0.925848	-0.679216	1.605064
0.120000	0.880000	3.000000	1.335519	-0.199079	0.925230	-0.678803	1.604033
0.121000	0.879000	3.000000	1.336274	-0.199125	0.924612	-0.678390	1.603002
0.122000	0.878000	3.000000	1.337030	-0.199171	0.923995	-0.677978	1.601972
0.123000	0.877000	3.000000	1.337788	-0.199217	0.923377	-0.677565	1.600942
0.124000	0.876000	3.000000	1.338549	-0.199264	0.922759	-0.677153	1.599912
0.125000	0.875000	3.000000	1.339310	-0.199310	0.922142	-0.676740	1.598882
0.126000	0.874000	3.000000	1.340074	-0.199357	0.921525	-0.676328	1.597853
0.127000	0.873000	3.000000	1.340839	-0.199404	0.920907	-0.675916	1.596823
0.128000	0.872000	3.000000	1.341606	-0.199450	0.920290	-0.675504	1.595794
0.129000	0.871000	3.000000	1.342375	-0.199497	0.919673	-0.675092	1.594765
0.130000	0.870000	3.000000	1.343146	-0.199545	0.919056	-0.674680	1.593736
0.131000	0.869000	3.000000	1.343918	-0.199592	0.918439	-0.674268	1.592708
0.132000	0.868000	3.000000	1.344692	-0.199639	0.917823	-0.673857	1.591680
0.133000	0.867000	3.000000	1.345468	-0.199686	0.917206	-0.673445	1.590651
0.134000	0.866000	3.000000	1.346246	-0.199734	0.916590	-0.673034	1.589623
0.135000	0.865000	3.000000	1.347026	-0.199782	0.915973	-0.672623	1.588596
0.136000	0.864000	3.000000	1.347807	-0.199829	0.915357	-0.672211	1.587568
0.137000	0.863000	3.000000	1.348590	-0.199877	0.914741	-0.671800	1.586541
0.138000	0.862000	3.000000	1.349375	-0.199925	0.914125	-0.671389	1.585514
0.139000	0.861000	3.000000	1.350162	-0.199973	0.913509	-0.670978	1.584487
0.140000	0.860000	3.000000	1.350951	-0.200021	0.912893	-0.670567	1.583460
0.141000	0.859000	3.000000	1.351741	-0.200070	0.912277	-0.670157	1.582434
0.142000	0.858000	3.000000	1.352534	-0.200118	0.911661	-0.669746	1.581407
0.143000	0.857000	3.000000	1.353328	-0.200166	0.911046	-0.669336	1.580381
0.144000	0.856000	3.000000	1.354124	-0.200215	0.910430	-0.668925	1.579356
0.145000	0.855000	3.000000	1.354922	-0.200264	0.909815	-0.668515	1.578330
0.146000	0.854000	3.000000	1.355722	-0.200313	0.909200	-0.668105	1.577305
0.147000	0.853000	3.000000	1.356524	-0.200362	0.908584	-0.667695	1.576279
0.148000	0.852000	3.000000	1.357327	-0.200411	0.907969	-0.667285	1.575254
0.149000	0.851000	3.000000	1.358133	-0.200460	0.907354	-0.666875	1.574230
0.150000	0.850000	3.000000	1.358940	-0.200509	0.906740	-0.666465	1.573205
0.151000	0.849000	3.000000	1.359749	-0.200559	0.906125	-0.666056	1.572181
0.152000	0.848000	3.000000	1.360561	-0.200608	0.905510	-0.665646	1.571157
0.153000	0.847000	3.000000	1.361374	-0.200658	0.904896	-0.665237	1.570133
0.154000	0.846000	3.000000	1.362189	-0.200708	0.904282	-0.664828	1.569109
0.155000	0.845000	3.000000	1.363006	-0.200758	0.903667	-0.664418	1.568086
0.156000	0.844000	3.000000	1.363825	-0.200808	0.903053	-0.664009	1.567062
0.157000	0.843000	3.000000	1.364645	-0.200858	0.902439	-0.663600	1.566039
0.158000	0.842000	3.000000	1.365468	-0.200908	0.901825	-0.663192	1.565017
0.159000	0.841000	3.000000	1.366293	-0.200958	0.901211	-0.662783	1.563994
0.160000	0.840000	3.000000	1.367120	-0.201009	0.900598	-0.662374	1.562972
0.161000	0.839000	3.000000	1.367949	-0.201060	0.899984	-0.661966	1.561950
0.162000	0.838000	3.000000	1.368779	-0.201110	0.899371	-0.661557	1.560928
0.163000	0.837000	3.000000	1.369612	-0.201161	0.898757	-0.661149	1.559906
0.164000	0.836000	3.000000	1.370447	-0.201212	0.898144	-0.660741	1.558885
0.165000	0.835000	3.000000	1.371283	-0.201263	0.897531	-0.660333	1.557864
0.166000	0.834000	3.000000	1.372122	-0.201314	0.896918	-0.659925	1.556843
0.167000	0.833000	3.000000	1.372963	-0.201366	0.896305	-0.659517	1.555822
0.168000	0.832000	3.000000	1.373806	-0.201417	0.895692	-0.659109	1.554801
0.169000	0.831000	3.000000	1.374650	-0.201469	0.895079	-0.658702	1.553781
0.170000	0.830000	3.000000	1.375497	-0.201521	0.894467	-0.658294	1.552761
0.171000	0.829000	3.000000	1.376346	-0.201573	0.893854	-0.657887	1.551741
0.172000	0.828000	3.000000	1.377197	-0.201624	0.893242	-0.657480	1.550722
0.173000	0.827000	3.000000	1.378050	-0.201677	0.892630	-0.657073	1.549703
0.174000	0.826000	3.000000	1.378905	-0.201729	0.892018	-0.656666	1.548683
0.175000	0.825000	3.000000	1.379762	-0.201781	0.891406	-0.656259	1.547665
0.176000	0.824000	3.000000	1.380621	-0.201834	0.890794	-0.655852	1.546646
0.177000	0.823000	3.000000	1.381483	-0.201886	0.890182	-0.655445	1.545628
0.178000	0.822000	3.000000	1.382346	-0.201939	0.889571	-0.655039	1.544610
0.179000	0.821000	3.000000	1.383212	-0.201992	0.888959	-0.654632	1.543592
0.180000	0.820000	3.000000	1.384079	-0.202045	0.888348	-0.654226	1.542574
0.181000	0.819000	3.000000	1.384949	-0.202098	0.887737	-0.653820	1.541557
0.182000	0.818000	3.000000	1.385821	-0.202151	0.887126	-0.653414	1.540539
0.183000	0.817000	3.000000	1.386695	-0.202205	0.886515	-0.653008	1.539523
0.184000	0.816000	3.000000	1.387571	-0.202258	0.885904	-0.652602	1.538506
0.185000	0.815000	3.000000	1.388450	-0.202312	0.885293	-0.652197	1.537489
0.186000	0.814000	3.000000	1.389330	-0.202366	0.884682	-0.651791	1.536473
0.187000	0.813000	3.000000	1.390213	-0.202420	0.884072	-0.651386	1.535457
0.188000	0.812000	3.000000	1.391098	-0.202474	0.883461	-0.650980	1.534442
0.189000	0.811000	3.000000	1.391985	-0.202528	0.882851	-0.650575	1.533426
0.190000	0.810000	3.000000	1.392874	-0.202582	0.882241	-0.650170	1.532411
0.191000	0.809000	3.000000	1.393765	-0.202637	0.881631	-0.649765	1.531396
0.192000	0.808000	3.000000	1.394659	-0.202691	0.881021	-0.649360	1.530382
0.193000	0.807000	3.000000	1.395555	-0.202746	0.880412	-0.648956	1.529367
0.194000	0.806000	3.000000	1.396453	-0.202801	0.879802	-0.648551	1.528353
0.195000	0.805000	3.000000	1.397353	-0.202856	0.879192	-0.648147	1.527339
0.196000	0.804000	3.000000	1.398256	-0.202911	0.878583	-0.647742	1.526326
0.197000	0.803000	3.000000	1.399161	-0.202966	0.877974	-0.647338	1.525312
0.198000	0.802000	3.000000	1.400068	-0.203022	0.877365	-0.646934	1.524299
0.199000	0.801000	3.000000	1.400977	-0.203077	0.876756	-0.646530	1.523286
0.200000	0.800000	3.000000	1.401889	-0.203133	0.876147	-0.646127	1.522274
0.201000	0.799000	3.000000	1.402803	-0.203189	0.875538	-0.645723	1.521261
0.202000	0.798000	3.000000	1.403719	-0.203245	0.874930	-0.645319	1.520249
0.203000	0.797000	3.000000	1.404638	-0.203301	0.874321	-0.644916	1.519237
0.204000	0.796000	3.000000	1.405559	-0.203357	0.873713	-0.644513	1.518226
0.205000	0.795000	3.000000	1.406482	-0.203413	0.873105	-0.644110	1.517215
0.206000	0.794000	3.000000	1.407407	-0.203470	0.872497	-0.643707	1.516204
0.207000	0.793000	3.000000	1.408335	-0.203527	0.871889	-0.643304	1.515193
0.208000	0.792000	3.000000	1.409265	-0.203583	0.871281	-0.642901	1.514182
0.209000	0.791000	3.000000	1.410198	-0.203640	0.870673	-0.642499	1.513172
0.210000	0.790000	3.000000	1.411133	-0.203697	0.870066	-0.642096	1.512162
0.211000	0.789000	3.000000	1.412070	-0.203755	0.869459	-0.641694	1.511153
0.212000	0.788000	3.000000	1.413010	-0.203812	0.868851	-0.641292	1.510143
0.213000	0.787000	3.000000	1.413952	-0.203870	0.868244	-0.640890	1.509134
0.214000	0.786000	3.000000	1.414896	-0.203927	0.867637	-0.640488	1.508125
0.215000	0.785000	3.000000	1.415843	-0.203985	0.867031	-0.640086	1.507117
0.216000	0.784000	3.000000	1.416793	-0.204043	0.866424	-0.639685	1.506108
0.217000	0.783000	3.000000	1.417744	-0.204101	0.865817	-0.639283	1.505100
0.218000	0.782000	3.000000	1.418699	-0.204160	0.865211	-0.638882	1.504093
0.219000	0.781000	3.000000	1.419655	-0.204218	0.864605	-0.638481	1.503085
0.220000	0.780000	3.000000	1.420614	-0.204277	0.863999	-0.638080	1.502078
0.221000	0.779000	3.000000	1.421576	-0.204335	0.863393	-0.637679	1.501071
0.222000	0.778000	3.000000	1.422540	-0.204394	0.862787	-0.637278	1.500065
0.223000	0.777000	3.000000	1.423507	-0.204453	0.862181	-0.636877	1.499058
0.224000	0.776000	3.000000	1.424476	-0.204512	0.861576	-0.636477	1.498052
0.225000	0.775000	3.000000	1.425447	-0.204572	0.860970	-0.636076	1.497047
0.226000	0.774000	3.000000	1.426421	-0.204631	0.860365	-0.635676	1.496041
0.227000	0.773000	3.000000	1.427398	-0.204691	0.859760	-0.635276	1.495036
0.228000	0.772000	3.000000	1.428377	-0.204751	0.859155	-0.634876	1.494031
0.229000	0.771000	3.000000	1.429359	-0.204811	0.858550	-0.634476	1.493027
0.230000	0.770000	3.000000	1.430343	-0.204871	0.857945	-0.634077	1.492022
0.231000	0.769000	3.000000	1.431330	-0.204931	0.857341	-0.633677	1.491018
0.232000	0.768000	3.000000	1.432319	-0.204992	0.856737	-0.633278	1.490015
0.233000	0.767000	3.000000	1.433311	-0.205052	0.856132	-0.632879	1.489011
0.234000	0.766000	3.000000	1.434305	-0.205113	0.855528	-0.632480	1.488008
0.235000	0.765000	3.000000	1.435303	-0.205174	0.854924	-0.632081	1.487005
0.236000	0.764000	3.000000	1.436302	-0.205235	0.854321	-0.631682	1.486003
0.237000	0.763000	3.000000	1.437305	-0.205296	0.853717	-0.631284	1.485001
0.238000	0.762000	3.000000	1.438310	-0.205357	0.853113	-0.630885	1.483999
0.239000	0.761000	3.000000	1.439317	-0.205419	0.852510	-0.630487	1.482997
0.240000	0.760000	3.000000	1.440328	-0.205481	0.851907	-0.630089	1.481996
0.241000	0.759000	3.000000	1.441341	-0.205543	0.851304	-0.629691	1.480995
0.242000	0.758000	3.000000	1.442357	-0.205605	0.850701	-0.629293	1.479994
0.243000	0.757000	3.000000	1.443375	-0.205667	0.850098	-0.628895	1.478994
0.244000	0.756000	3.000000	1.444396	-0.205729	0.849496	-0.628498	1.477994
0.245000	0.755000	3.000000	1.445420	-0.205792	0.848893	-0.628101	1.476994
0.246000	0.754000	3.000000	1.446446	-0.205854	0.848291	-0.627703	1.475995
0.247000	0.753000	3.000000	1.447476	-0.205917	0.847689	-0.627306	1.474996
0.248000	0.752000	3.000000	1.448508	-0.205980	0.847087	-0.626909	1.473997
